;score;puissance_homeTeam;puissance_awayTeam;win_cons_home;win_cons_away;lose_cons_home;lose_cons_away;score
855;1;4803;4257;1;0;0;1;1
856;2;4554;6273;0;0;1;3;2
857;1;7447;7881;1;2;0;0;1
858;1;3267;9770;0;0;1;0;1
859;0;3663;9329;0;2;1;0;0
860;1;13105;4059;6;1;0;0;1
861;0;9770;7447;0;2;1;0;0
862;2;7427;4554;2;0;0;2;2
863;1;6139;6273;0;1;1;0;1
864;1;4257;4059;0;0;2;2;1
865;1;8949;100;1;1;0;0;1
866;0;2475;3267;0;1;1;0;0
867;1;3861;5396;0;2;2;0;1
868;1;7881;4803;0;2;1;0;1
869;2;6273;9770;0;0;1;0;2
870;1;4554;13105;1;7;0;0;1
871;0;7447;9329;0;0;0;0;0
872;0;8949;4257;2;1;0;0;0
873;1;4059;2475;0;0;1;0;1
874;0;5396;6139;0;1;1;0;0
875;1;3267;3663;0;0;0;0;1
