;Equipe;Points
1073;CrystalPalace;4188
1074;StokeCity;4128
1075;WadiDegla;4128
1076;PAOK;4127
1077;Ludogorets;4119
1078;GuangzhouEvergrande;4099
1079;Lokeren;4066
1080;Coritiba;4050
1081;AlFaisaly;4024
1082;Seongnam;4006
1083;KawasakiFrontale;3997
1084;SanfrecceHiroshima;3896
1085;APOEL;3892
1086;Galatasaray;3877
1087;MisrLelMakasa;3870
1088;Almería;3850
1089;NacionalAsunción;3808
1090;AlMokawloon;3784
1091;ElGeish;3784
1092;Panathinaikos;3732
1093;NewcastleUnited;3725
1094;Figueirense;3700
1095;Newell'sOldBoys;3670
1096;RosarioCentral;3661
1097;BusanI'Park;3655
1098;YoungBoys;3645
1099;Nantes;3634
1100;Freiburg;3619
1101;AlIttihad;3612
1102;WerderBremen;3605
1103;Sampdoria;3600
1104;Getafe;3600
1105;AtléticoPR;3596
1106;Apollon;3575
1107;HullCity;3558
1108;Genoa;3534
1109;Zürich;3534
1110;AlMasry;3526
1111;AaB;3503
1112;Marítimo;3457
1113;WesternSydneyWanderers;3429
1114;AtléticoRafaela;3420
1115;PECZwolle;3410
1116;AsterasTripolis;3401
1117;IncheonUnited;3400
1118;Granada;3400
1119;YokohamaF.Marinos;3398
1120;LokomotivMoskva;3382
1121;AstonVilla;3363
1122;Atalanta;3362
1123;ESSétif;3360
1124;ElGounah;3354
1125;Celtic;3348
1126;Trabzonspor;3321
1127;Elche;3300
1128;Chapecoense;3300
1129;Goiás;3300
1130;Vitória;3290
1131;ElDaklyeh;3268
1132;Twente;3255
1133;Parma;3254
1134;RealBetis;3245
1135;CerroPorteño;3244
1136;Querétaro;3240
1137;GimnasiaLaPlata;3211
1138;Bordeaux;3210
1139;Palmeiras;3200
1140;Alajuelense;3185
1141;Bahia;3162
1142;AlFateh;3160
1143;SangjuSangmu;3145
1144;Belenenses;3144
1145;Botafogo;3136
1146;Montpellier;3134
1147;RacingClub;3120
1148;StandardLiège;3111
1149;AkhmatGrozny;3096
1150;Partizan;3089
1151;GambaOsaka;3085
1152;Gyeongnam;3060
1153;WestBromwichAlbion;3057
1154;BeijingGuoan;3045
